Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45611,75,NIFTY,NIFTY13MAR25P24600,2025-03-13,OPTIDX,PE,24600.0,0.05
NFO,45610,75,NIFTY,NIFTY13MAR25C24600,2025-03-13,OPTIDX,CE,24600.0,0.05
NFO,45609,75,NIFTY,NIFTY13MAR25P24550,2025-03-13,OPTIDX,PE,24550.0,0.05
NFO,45608,75,NIFTY,NIFTY13MAR25C24550,2025-03-13,OPTIDX,CE,24550.0,0.05
NFO,45606,75,NIFTY,NIFTY13MAR25P24500,2025-03-13,OPTIDX,PE,24500.0,0.05
NFO,45604,75,NIFTY,NIFTY13MAR25C24500,2025-03-13,OPTIDX,CE,24500.0,0.05
NFO,45601,75,NIFTY,NIFTY13MAR25P24450,2025-03-13,OPTIDX,PE,24450.0,0.05
NFO,45597,75,NIFTY,NIFTY13MAR25C24450,2025-03-13,OPTIDX,CE,24450.0,0.05
NFO,45596,75,NIFTY,NIFTY13MAR25P24400,2025-03-13,OPTIDX,PE,24400.0,0.05
NFO,45593,75,NIFTY,NIFTY13MAR25C24400,2025-03-13,OPTIDX,CE,24400.0,0.05
NFO,45592,75,NIFTY,NIFTY13MAR25P24350,2025-03-13,OPTIDX,PE,24350.0,0.05
NFO,45590,75,NIFTY,NIFTY13MAR25C24350,2025-03-13,OPTIDX,CE,24350.0,0.05
NFO,45589,75,NIFTY,NIFTY13MAR25P24300,2025-03-13,OPTIDX,PE,24300.0,0.05
NFO,45586,75,NIFTY,NIFTY13MAR25C24300,2025-03-13,OPTIDX,CE,24300.0,0.05
NFO,45585,75,NIFTY,NIFTY13MAR25P24250,2025-03-13,OPTIDX,PE,24250.0,0.05
NFO,45575,75,NIFTY,NIFTY13MAR25C24250,2025-03-13,OPTIDX,CE,24250.0,0.05
NFO,45565,75,NIFTY,NIFTY13MAR25P24200,2025-03-13,OPTIDX,PE,24200.0,0.05
NFO,45564,75,NIFTY,NIFTY13MAR25C24200,2025-03-13,OPTIDX,CE,24200.0,0.05
NFO,45559,75,NIFTY,NIFTY13MAR25P24150,2025-03-13,OPTIDX,PE,24150.0,0.05
NFO,45556,75,NIFTY,NIFTY13MAR25C24150,2025-03-13,OPTIDX,CE,24150.0,0.05
NFO,45555,75,NIFTY,NIFTY13MAR25P24100,2025-03-13,OPTIDX,PE,24100.0,0.05
NFO,45554,75,NIFTY,NIFTY13MAR25C24100,2025-03-13,OPTIDX,CE,24100.0,0.05
NFO,45553,75,NIFTY,NIFTY13MAR25P24050,2025-03-13,OPTIDX,PE,24050.0,0.05
NFO,45552,75,NIFTY,NIFTY13MAR25C24050,2025-03-13,OPTIDX,CE,24050.0,0.05
NFO,45551,75,NIFTY,NIFTY13MAR25P24000,2025-03-13,OPTIDX,PE,24000.0,0.05
NFO,45550,75,NIFTY,NIFTY13MAR25C24000,2025-03-13,OPTIDX,CE,24000.0,0.05
NFO,45549,75,NIFTY,NIFTY13MAR25P23950,2025-03-13,OPTIDX,PE,23950.0,0.05
NFO,45548,75,NIFTY,NIFTY13MAR25C23950,2025-03-13,OPTIDX,CE,23950.0,0.05
NFO,45547,75,NIFTY,NIFTY13MAR25P23900,2025-03-13,OPTIDX,PE,23900.0,0.05
NFO,45546,75,NIFTY,NIFTY13MAR25C23900,2025-03-13,OPTIDX,CE,23900.0,0.05
NFO,45545,75,NIFTY,NIFTY13MAR25P23850,2025-03-13,OPTIDX,PE,23850.0,0.05
NFO,45544,75,NIFTY,NIFTY13MAR25C23850,2025-03-13,OPTIDX,CE,23850.0,0.05
NFO,45543,75,NIFTY,NIFTY13MAR25P23800,2025-03-13,OPTIDX,PE,23800.0,0.05
NFO,45542,75,NIFTY,NIFTY13MAR25C23800,2025-03-13,OPTIDX,CE,23800.0,0.05
NFO,45541,75,NIFTY,NIFTY13MAR25P23750,2025-03-13,OPTIDX,PE,23750.0,0.05
NFO,45540,75,NIFTY,NIFTY13MAR25C23750,2025-03-13,OPTIDX,CE,23750.0,0.05
NFO,45539,75,NIFTY,NIFTY13MAR25P23700,2025-03-13,OPTIDX,PE,23700.0,0.05
NFO,45538,75,NIFTY,NIFTY13MAR25C23700,2025-03-13,OPTIDX,CE,23700.0,0.05
NFO,45537,75,NIFTY,NIFTY13MAR25P23650,2025-03-13,OPTIDX,PE,23650.0,0.05
NFO,45536,75,NIFTY,NIFTY13MAR25C23650,2025-03-13,OPTIDX,CE,23650.0,0.05
NFO,45535,75,NIFTY,NIFTY13MAR25P23600,2025-03-13,OPTIDX,PE,23600.0,0.05
NFO,45534,75,NIFTY,NIFTY13MAR25C23600,2025-03-13,OPTIDX,CE,23600.0,0.05
NFO,45533,75,NIFTY,NIFTY13MAR25P23550,2025-03-13,OPTIDX,PE,23550.0,0.05
NFO,45531,75,NIFTY,NIFTY13MAR25C23550,2025-03-13,OPTIDX,CE,23550.0,0.05
NFO,45529,75,NIFTY,NIFTY13MAR25P23500,2025-03-13,OPTIDX,PE,23500.0,0.05
NFO,45527,75,NIFTY,NIFTY13MAR25C23500,2025-03-13,OPTIDX,CE,23500.0,0.05
NFO,45526,75,NIFTY,NIFTY13MAR25P23450,2025-03-13,OPTIDX,PE,23450.0,0.05
